learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
24200.0,0.257375,1.1902964508367902E-9,24200.0,85.06611570247934,69.41099763521314,3.135888501742194,65.05173580891596,84.71111123381938,84.80702989193047,84.61540930290401,18.0,2496.0,1.0,1.0
24300.0,0.258219,1.1940222626758938E-9,24300.0,85.0246913580247,69.33924113761053,2.674511901578021,64.97256713831938,84.67403575384706,84.75827233405609,84.58996644359591,118.0,2528.0,0.0,0.0
24400.0,0.259041,1.1976577610605284E-9,24400.0,85.02868852459017,69.33209046684428,2.6126366302319353,64.91211218903085,84.67033632062488,84.75423759121827,84.58660099952782,218.0,2560.0,0.0,0.0
24500.0,0.259961,1.2017324008047573E-9,24500.0,85.00408163265305,69.26310586738636,2.2872340425531617,64.80505795574288,84.63671980341734,84.72990859804297,84.54373576791299,30.0,2584.0,1.0,1.0
24600.0,0.260798,1.2054394371807568E-9,24600.0,84.97967479674797,69.20918738202478,2.0153805356669814,64.72216918082874,84.60947039883585,84.70018652698184,84.51894838151188,130.0,2584.0,0.0,0.0
24700.0,0.261703,1.2094401506086184E-9,24700.0,84.94331983805668,69.12918154740402,1.976805482340539,64.6348421453024,84.57012137473413,84.66703878358216,84.47342559273223,60.0,2552.0,1.0,2.0
24800.0,0.262525,1.213079051425059E-9,24800.0,84.95564516129033,69.15666282457192,1.89324217722852,64.66856060606061,84.5837171483366,84.67923474126538,84.48841479898704,160.0,2576.0,0.0,0.0
24900.0,0.263426,1.2170602174268821E-9,24900.0,84.95180722891567,69.15657935782976,1.7566858940744616,64.69091594421411,84.58362929088185,84.67825841860595,84.4892114257931,91.0,2544.0,1.0,1.0
25000.0,0.264349,1.2211366825633571E-9,25000.0,84.916,69.09220445695429,1.6175319593008335,64.62476547842402,84.55081171251344,84.63909627041586,84.46271113676856,45.0,2536.0,1.0,1.0
25100.0,0.26527,1.225211939050091E-9,25100.0,84.96414342629483,69.18554285864742,1.8465539661898813,64.7124824684432,84.5974049873258,84.68533721179325,84.50965518064527,145.0,2568.0,0.0,0.0
25200.0,0.266284,1.22970290068123E-9,25200.0,84.96428571428571,69.18531207205453,1.8902123252201295,64.71409945986217,84.59739201395088,84.68632483247495,84.50864578397706,60.0,2584.0,1.0,1.0
25300.0,0.267243,1.2345318020217943E-9,25300.0,84.93280632411067,69.14446674081958,1.8537590113285458,64.70370370370371,84.57591909913764,84.65309520994855,84.49888357921562,160.0,2584.0,0.0,2.0
25400.0,0.268535,1.2402459916969135E-9,25400.0,84.88976377952756,69.05879271830611,1.6149705203794071,64.5842945464612,84.53235409745086,84.6013085326073,84.46351197360565,63.0,2560.0,1.0,2.0
25500.0,0.269415,1.2441434731913932E-9,25500.0,84.91764705882353,69.11869647313932,1.712241247124988,64.66697289848415,84.56243157904203,84.63273619407896,84.49224367147741,163.0,2584.0,0.0,0.0
25600.0,0.270241,1.2478017910487117E-9,25600.0,84.94140625,69.16901035672323,1.7584097859327155,64.73655323819976,84.58775352848006,84.65986511167665,84.51576468714867,263.0,2584.0,0.0,0.0
25700.0,0.271204,1.252058903790182E-9,25700.0,84.8988326848249,69.08242989583714,1.5474378488077203,64.65069678477093,84.54474222999113,84.61981847436066,84.46979908555608,72.0,2552.0,1.0,1.0
25800.0,0.272046,1.2557863423393827E-9,25800.0,84.93410852713178,69.14980403025848,1.520141879908751,64.7053482248252,84.57825167510909,84.65168437313466,84.50494626781678,172.0,2576.0,0.0,0.0
25900.0,0.272966,1.259841941710975E-9,25900.0,84.92664092664093,69.14219014228328,1.4141414141414,64.7335140018067,84.57476725162128,84.6512609591769,84.49841166379561,58.0,2504.0,1.0,1.0
26000.0,0.273789,1.26347675298651E-9,26000.0,84.93846153846154,69.1622178798464,1.4346841177951324,64.72707620248605,84.58436943708266,84.65665006768681,84.51221212892615,158.0,2536.0,0.0,0.0
26100.0,0.274608,1.2671006781359508E-9,26100.0,84.97701149425288,69.24411424379778,1.5318935208438327,64.82461648874137,84.62518505566057,84.69587561800677,84.55461239724345,258.0,2568.0,0.0,0.0
